銘柄コード,会社名,業種,優先市場,決算月,会計基準,時価総額,EV/EBITDA,配当金(会予),配当金(前期),配当利回り(会予),自己資本比率,営業CF,発行済株式総数
5020,ENEOSHD,石油・石炭製品,プライム,3,IFRS,"1,360,719",5.4,22.0,22.0,5.0,28.3,"209,509","3,067,446,051.0"
7751,キヤノン,電気機器,プライム,12,SEC,"2,972,410",4.9,120.0,100.0,4.1,-,"451,028","1,015,514,273.0"
7261,マツダ,輸送用機器,プライム,3,日本,"617,364",2.7,40.0,20.0,4.1,43.7,"189,155","629,963,623.0"
6301,小松製作所,機械,プライム,3,SEC,"2,744,989",4.8,128.0,96.0,4.4,-,"300,970","945,570,024.0"
7202,いすゞ自動車,輸送用機器,プライム,3,日本,"1,245,744",4.3,72.0,66.0,4.5,42.3,"172,056","775,198,529.0"
5021,コスモエネルギーHD,石油・石炭製品,プライム,3,日本,"289,252",3.2,150.0,100.0,4.2,23.5,"108,361","81,941,313.0"
5201,AGC,ガラス・土石製品,プライム,12,IFRS,"998,039",3.5,210.0,210.0,4.7,50.6,"326,713","222,033,302.0"
4183,三井化学,化学,プライム,3,IFRS,"575,779",4.5,120.0,120.0,4.0,37.3,"92,584","193,344,218.0"
3116,トヨタ紡織,輸送用機器,プライム,3,IFRS,"323,683",2.8,70.0,64.0,4.0,40.0,"122,933","186,884,185.0"
3291,飯田GHD,不動産業,プライム,3,IFRS,"577,987",4.3,90.0,90.0,4.5,56.1,"3,115","286,132,239.0"
1911,住友林業,建設業,プライム,3,日本,"478,604",4.8,125.0,80.0,5.2,39.7,"91,576","199,834,796.0"
1605,INPEX,鉱業,プライム,3,日本,"1,922,392",2.2,60.0,48.0,4.2,57.7,"445,457","1,349,047,704.0"
8133,伊藤忠エネクス,卸売業,プライム,3,IFRS,"115,718",4.3,48.0,48.0,4.7,34.6,"39,955","112,895,719.0"
4042,東ソー,化学,プライム,3,日本,"498,193",4.1,80.0,80.0,5.1,63.6,"108,615","318,334,505.0"
1808,長谷工コーポレーション,建設業,プライム,3,日本,"402,326",5.6,80.0,80.0,5.5,42.0,"65,448","274,813,486.0"
6471,日本精工,機械,プライム,3,IFRS,"351,472",1.9,30.0,25.0,4.4,49.7,"22,733","513,097,859.0"
8020,兼松,卸売業,プライム,3,IFRS,"124,815",4.4,75.0,65.0,5.0,25.6,"15,382","83,544,679.0"
4182,三菱瓦斯化学,化学,プライム,3,日本,"370,902",4.3,80.0,80.0,4.4,60.0,"52,090","204,579,481.0"
7240,NOK,輸送用機器,プライム,3,日本,"199,391",2.6,50.0,60.0,4.3,57.8,"54,999","171,151,446.0"
4208,UBE,化学,プライム,3,日本,"189,875",5.3,100.0,95.0,5.1,51.6,"32,711","97,023,833.0"
5706,三井金属鉱業,非鉄金属,プライム,3,日本,"173,984",5.6,140.0,110.0,4.6,40.5,"60,672","57,137,614.0"
1951,エクシオG,建設業,プライム,3,日本,"239,445",5.9,102.0,96.0,4.6,57.7,"26,406","108,592,017.0"
1721,コムシスHD,建設業,プライム,3,日本,"284,314",5.4,100.0,95.0,4.3,68.5,"5,244","121,814,304.0"
3151,バイタルケーエスケー･HD,卸売業,プライム,3,日本,"44,121",5.1,39.0,26.0,4.6,32.4,"7,487","51,786,159.0"
8051,山善,卸売業,プライム,3,日本,"88,577",1.5,40.0,35.0,4.0,41.3,"7,054","88,843,561.0"
5334,日本特殊陶業,ガラス・土石製品,プライム,3,IFRS,"493,610",3.1,166.0,102.0,6.8,62.4,"71,910","203,299,175.0"
6995,東海理化電機製作所,輸送用機器,プライム,3,日本,"127,121",3.0,60.0,60.0,4.3,61.7,"14,677","91,322,829.0"
3738,ティーガイア,情報・通信業,プライム,3,日本,"89,434",2.6,75.0,75.0,4.7,30.0,"18,864","55,791,734.0"
5929,三和HD,金属製品,プライム,3,日本,"268,754",4.6,50.0,36.0,4.1,54.4,"20,526","221,014,963.0"
4202,ダイセル,化学,プライム,3,日本,"278,383",5.9,38.0,34.0,4.0,40.7,"42,993","296,152,326.0"
7599,IDOM,卸売業,プライム,2,日本,"65,666",4.3,32.4,4.6,5.0,32.9,"8,276","100,407,349.0"
1861,熊谷組,建設業,プライム,3,日本,"115,274",4.6,130.0,120.0,5.0,48.2,"8,258","44,353,232.0"
5105,TOYO TIRE,ゴム製品,プライム,12,日本,"240,475",5.6,80.0,76.0,5.1,53.2,"34,465","153,953,516.0"
7242,KYB,輸送用機器,プライム,3,IFRS,"83,036",2.7,140.0,105.0,4.3,39.1,"24,247","25,549,834.0"
5481,山陽特殊製鋼,鉄鋼,プライム,3,日本,"114,312",5.1,85.0,90.0,4.1,53.4,"7,086","54,486,448.0"
7313,テイ･エス テック,輸送用機器,プライム,3,IFRS,"196,412",1.4,63.0,54.0,4.1,70.6,"20,018","128,964,244.0"
3436,SUMCO,金属製品,プライム,12,日本,"637,654",3.2,78.0,41.0,4.3,59.5,"104,708","350,167,239.0"
6113,アマダ,機械,プライム,3,IFRS,"358,435",4.2,46.0,38.0,4.5,78.4,"56,865","347,658,304.0"
